VARIABLE,VARIABLE_NAME,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,MEASUREMENT_PERIOD,BUILDING_USE,SEASONALLY_ADJUSTED
VALUE_3_4_UNITS_M_YTD,"Three- and Four-Family Buildings valuation: Estimates With Imputation (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Year-to-Date,Three- and Four-Family Buildings,
VALUE_3_4_UNITS_REP_A,Three- and Four-Family Buildings valuation reported: Reported Only Data (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Reported Only Data,,Three- and Four-Family Buildings,
VALUE_3_4_UNITS_REP_M,"Three- and Four-Family Buildings valuation reported: Reported Only Data (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Current Month,Three- and Four-Family Buildings,
VALUE_3_4_UNITS_REP_M_YTD,"Three- and Four-Family Buildings valuation reported: Reported Only Data (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Year-to-Date,Three- and Four-Family Buildings,
VALUE_5_UNITS_A,Five-or-More Family Buildings valuation: Estimates With Imputation (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Estimates With Imputation,,Five-or-More Family Buildings,
VALUE_5_UNITS_M,"Five-or-More Family Buildings valuation: Estimates With Imputation (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Current Month,Five-or-More Family Buildings,
VALUE_5_UNITS_M_YTD,"Five-or-More Family Buildings valuation: Estimates With Imputation (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Year-to-Date,Five-or-More Family Buildings,
VALUE_5_UNITS_REP_A,Five-or-More Family Buildings valuation reported: Reported Only Data (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Reported Only Data,,Five-or-More Family Buildings,
VALUE_5_UNITS_REP_M,"Five-or-More Family Buildings valuation reported: Reported Only Data (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Current Month,Five-or-More Family Buildings,
VALUE_5_UNITS_REP_M_YTD,"Five-or-More Family Buildings valuation reported: Reported Only Data (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Year-to-Date,Five-or-More Family Buildings,
