VARIABLE,VARIABLE_NAME,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,MEASUREMENT_PERIOD,BUILDING_USE,SEASONALLY_ADJUSTED
ALL_NONRES_PUBLIC_COEFF_M,"Nonresidential Construction: Public Safety: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Public safety,
ALL_NONRES_PUBLIC_COEFF_YTD,"Nonresidential Construction: Public Safety: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Public safety,
ALL_NONRES_PUBLIC_NSA,Nonresidential Construction: Public Safety (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Public safety,false
ALL_NONRES_PUBLIC_SA,Nonresidential Construction: Public Safety (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Public safety,true
ALL_NONRES_PUBLIC_STD_ERR_MM,"Nonresidential Construction: Public Safety: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Public safety,
ALL_NONRES_PUBLIC_STD_ERR_MM_PY,"Nonresidential Construction: Public Safety: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Public safety,
ALL_NONRES_PUBLIC_STD_ERR_YTD,"Nonresidential Construction: Public Safety: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Public safety,
ALL_NONRES_RELIGIOUS_A,Nonresidential Construction: Religious (Annual),Nonresidential Construction,USD,Annual,,,Religious,
ALL_NONRES_RELIGIOUS_COEFF_M,"Nonresidential Construction: Religious: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Religious,
ALL_NONRES_RELIGIOUS_COEFF_YTD,"Nonresidential Construction: Religious: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Religious,
ALL_NONRES_RELIGIOUS_NSA,Nonresidential Construction: Religious (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Religious,false
ALL_NONRES_RELIGIOUS_SA,Nonresidential Construction: Religious (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Religious,true
ALL_NONRES_RELIGIOUS_STD_ERR_MM,"Nonresidential Construction: Religious: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Religious,
ALL_NONRES_RELIGIOUS_STD_ERR_MM_PY,"Nonresidential Construction: Religious: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Religious,
ALL_NONRES_RELIGIOUS_STD_ERR_YTD,"Nonresidential Construction: Religious: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Religious,
ALL_NONRES_SA,Total Nonresidential Construction (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,,true
ALL_NONRES_SEWAGE_A,Nonresidential Construction: Sewage And Waste Disposal (Annual),Nonresidential Construction,USD,Annual,,,Sewage and waste disposal,
ALL_NONRES_SEWAGE_COEFF_M,"Nonresidential Construction: Sewage And Waste Disposal: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
ALL_NONRES_SEWAGE_COEFF_YTD,"Nonresidential Construction: Sewage And Waste Disposal: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
ALL_NONRES_SEWAGE_NSA,Nonresidential Construction: Sewage And Waste Disposal (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Sewage and waste disposal,false
ALL_NONRES_SEWAGE_SA,Nonresidential Construction: Sewage And Waste Disposal (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Sewage and waste disposal,true
ALL_NONRES_SEWAGE_STD_ERR_MM,"Nonresidential Construction: Sewage And Waste Disposal: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
ALL_NONRES_SEWAGE_STD_ERR_MM_PY,"Nonresidential Construction: Sewage And Waste Disposal: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
ALL_NONRES_SEWAGE_STD_ERR_YTD,"Nonresidential Construction: Sewage And Waste Disposal: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
ALL_NONRES_STD_ERR_MM,"Total Nonresidential Construction: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,,
ALL_NONRES_STD_ERR_MM_PY,"Total Nonresidential Construction: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,,
ALL_NONRES_STD_ERR_YTD,"Total Nonresidential Construction: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,,
ALL_NONRES_TRANSPORTATION_A,Nonresidential Construction: Transportation (Annual),Nonresidential Construction,USD,Annual,,,Transportation,
ALL_NONRES_TRANSPORTATION_COEFF_M,"Nonresidential Construction: Transportation: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Transportation,
ALL_NONRES_TRANSPORTATION_COEFF_YTD,"Nonresidential Construction: Transportation: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Transportation,
ALL_NONRES_TRANSPORTATION_NSA,Nonresidential Construction: Transportation (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Transportation,false
ALL_NONRES_TRANSPORTATION_SA,Nonresidential Construction: Transportation (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Transportation,true
ALL_NONRES_TRANSPORTATION_STD_ERR_MM,"Nonresidential Construction: Transportation: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Transportation,
ALL_NONRES_TRANSPORTATION_STD_ERR_MM_PY,"Nonresidential Construction: Transportation: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Transportation,
ALL_NONRES_TRANSPORTATION_STD_ERR_YTD,"Nonresidential Construction: Transportation: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Transportation,
ALL_NONRES_WATER_A,Nonresidential Construction: Water Supply (Annual),Nonresidential Construction,USD,Annual,,,Water supply,
ALL_NONRES_WATER_COEFF_M,"Nonresidential Construction: Water Supply: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Water supply,
ALL_NONRES_WATER_COEFF_YTD,"Nonresidential Construction: Water Supply: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Water supply,
ALL_NONRES_WATER_NSA,Nonresidential Construction: Water Supply (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Water supply,false
ALL_NONRES_WATER_SA,Nonresidential Construction: Water Supply (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Water supply,true
ALL_NONRES_WATER_STD_ERR_MM,"Nonresidential Construction: Water Supply: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Water supply,
ALL_NONRES_WATER_STD_ERR_MM_PY,"Nonresidential Construction: Water Supply: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Water supply,
ALL_NONRES_WATER_STD_ERR_YTD,"Nonresidential Construction: Water Supply: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Water supply,
ALL_NSA,Total Construction (Not Seasonally Adjusted),Construction,USD,Monthly,,,,false
ALL_RES_A,Total Residential Construction (Annual),Residential Construction,USD,Annual,,,,
ALL_RES_COEFF_M,"Total Residential Construction: Coefficienct of Variation, Monthly Estimate",Residential Construction,Percent,Monthly,,,,
ALL_RES_COEFF_YTD,"Total Residential Construction: Coefficient of Variation, Year-to-date estimate",Residential Construction,Percent,Monthly,,,,
ALL_RES_NSA,Total Residential Construction (Not Seasonally Adjusted),Residential Construction,USD,Monthly,,,,false
ALL_RES_SA,Total Residential Construction (Seasonally Adjusted),Residential Construction,USD,Monthly,,,,true
ALL_RES_STD_ERR_MM,"Total Residential Construction: Standard Error, Month-to-month change",Residential Construction,Percent,Monthly,,,,
ALL_RES_STD_ERR_MM_PY,"Total Residential Construction: Standard Error, Month-to-month change from previous year",Residential Construction,Percent,Monthly,,,,
ALL_RES_STD_ERR_YTD,"Total Residential Construction: Standard Error, Year-to-date change",Residential Construction,Percent,Monthly,,,,
ALL_SA,Total Construction (Seasonally Adjusted),Construction,USD,Monthly,,,,true
ALL_STD_ERR_MM,"Total Construction: Standard Error, Month-to-month change",Construction,Percent,Monthly,,,,
ALL_STD_ERR_MM_PY,"Total Construction: Standard Error, Month-to-month change from previous year",Construction,Percent,Monthly,,,,
ALL_STD_ERR_YTD,"Total Construction: Standard Error, Year-to-date change",Construction,Percent,Monthly,,,,
BLDGS_1_UNIT_A,Single Family Houses buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Single Family Houses,
BLDGS_1_UNIT_M,"Single Family Houses buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Single Family Houses,
BLDGS_1_UNIT_M_YTD,"Single Family Houses buildings: Estimates With Imputation (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Single Family Houses,
BLDGS_1_UNIT_REP_A,Single Family Houses buildings reported: Reported Only Data (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Single Family Houses,
BLDGS_1_UNIT_REP_M,"Single Family Houses buildings reported: Reported Only Data (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Single Family Houses,
BLDGS_1_UNIT_REP_M_YTD,"Single Family Houses buildings reported: Reported Only Data (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Single Family Houses,
BLDGS_2_UNITS_A,Two-Family Buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Two-Family Buildings,
